Experiment_Number,Episode,Reward,Total_Reward
1,1,0,
1,2,0,
1,3,0,
1,4,0,
1,5,0,
1,6,0,
1,7,0,
1,8,0,
1,9,0,
1,10,0,
1,11,0,
1,12,0,
1,13,14,
1,14,0,
1,15,0,
1,16,0,
1,17,0,
1,18,0,
1,19,0,
1,20,0,
1,21,0,
1,22,0,
1,23,0,
1,24,0,
1,25,0,
1,26,0,
1,27,0,
1,28,0,
1,29,16,
1,30,0,
1,31,14,
1,32,0,
1,33,10,
1,34,0,
1,35,2,
1,36,18,
1,37,0,
1,38,12,
1,39,6,
1,40,18,
1,41,28,
1,42,6,
1,43,24,
1,44,18,
1,45,12,
1,46,22,
1,47,26,
1,48,22,
1,49,22,
1,50,24,314
2,1,0,
2,2,0,
2,3,0,
2,4,0,
2,5,0,
2,6,0,
2,7,0,
2,8,0,
2,9,0,
2,10,0,
2,11,0,
2,12,0,
2,13,0,
2,14,0,
2,15,0,
2,16,12,
2,17,0,
2,18,0,
2,19,0,
2,20,0,
2,21,0,
2,22,0,
2,23,0,
2,24,0,
2,25,0,
2,26,18,
2,27,0,
2,28,0,
2,29,0,
2,30,0,
2,31,0,
2,32,0,
2,33,0,
2,34,0,
2,35,0,
2,36,16,
2,37,12,
2,38,8,
2,39,20,
2,40,6,
2,41,0,
2,42,26,
2,43,14,
2,44,18,
2,45,28,
2,46,2,
2,47,6,
2,48,14,
2,49,26,
2,50,14,240
3,1,0,
3,2,0,
3,3,0,
3,4,0,
3,5,18,
3,6,0,
3,7,0,
3,8,0,
3,9,0,
3,10,0,
3,11,0,
3,12,0,
3,13,0,
3,14,0,
3,15,4,
3,16,0,
3,17,12,
3,18,8,
3,19,6,
3,20,0,
3,21,0,
3,22,0,
3,23,0,
3,24,0,
3,25,0,
3,26,22,
3,27,10,
3,28,0,
3,29,20,
3,30,18,
3,31,14,
3,32,22,
3,33,22,
3,34,0,
3,35,12,
3,36,0,
3,37,12,
3,38,22,
3,39,6,
3,40,28,
3,41,18,
3,42,26,
3,43,24,
3,44,18,
3,45,24,
3,46,26,
3,47,28,
3,48,22,
3,49,24,
3,50,28,494
4,1,0,
4,2,0,
4,3,0,
4,4,0,
4,5,0,
4,6,0,
4,7,0,
4,8,0,
4,9,8,
4,10,0,
4,11,0,
4,12,0,
4,13,0,
4,14,6,
4,15,8,
4,16,0,
4,17,14,
4,18,8,
4,19,0,
4,20,16,
4,21,0,
4,22,0,
4,23,0,
4,24,0,
4,25,0,
4,26,0,
4,27,24,
4,28,14,
4,29,14,
4,30,2,
4,31,26,
4,32,18,
4,33,16,
4,34,14,
4,35,6,
4,36,10,
4,37,26,
4,38,20,
4,39,26,
4,40,2,
4,41,26,
4,42,16,
4,43,24,
4,44,22,
4,45,24,
4,46,24,
4,47,28,
4,48,26,
4,49,12,
4,50,24,504
5,1,0,
5,2,0,
5,3,0,
5,4,6,
5,5,0,
5,6,0,
5,7,18,
5,8,0,
5,9,0,
5,10,0,
5,11,24,
5,12,0,
5,13,22,
5,14,0,
5,15,0,
5,16,22,
5,17,0,
5,18,0,
5,19,0,
5,20,8,
5,21,0,
5,22,0,
5,23,0,
5,24,0,
5,25,0,
5,26,2,
5,27,0,
5,28,14,
5,29,12,
5,30,24,
5,31,26,
5,32,2,
5,33,10,
5,34,24,
5,35,14,
5,36,0,
5,37,10,
5,38,26,
5,39,14,
5,40,20,
5,41,14,
5,42,18,
5,43,28,
5,44,16,
5,45,16,
5,46,24,
5,47,20,
5,48,18,
5,49,26,
5,50,22,500
6,1,0,
6,2,0,
6,3,0,
6,4,0,
6,5,0,
6,6,0,
6,7,12,
6,8,0,
6,9,12,
6,10,0,
6,11,0,
6,12,0,
6,13,22,
6,14,22,
6,15,10,
6,16,0,
6,17,6,
6,18,24,
6,19,12,
6,20,6,
6,21,0,
6,22,0,
6,23,12,
6,24,0,
6,25,0,
6,26,0,
6,27,14,
6,28,22,
6,29,16,
6,30,24,
6,31,14,
6,32,0,
6,33,4,
6,34,24,
6,35,28,
6,36,18,
6,37,26,
6,38,16,
6,39,18,
6,40,18,
6,41,12,
6,42,26,
6,43,24,
6,44,28,
6,45,20,
6,46,4,
6,47,22,
6,48,16,
6,49,28,
6,50,22,582
7,1,0,
7,2,0,
7,3,0,
7,4,0,
7,5,0,
7,6,0,
7,7,0,
7,8,0,
7,9,0,
7,10,0,
7,11,0,
7,12,0,
7,13,0,
7,14,0,
7,15,0,
7,16,2,
7,17,8,
7,18,26,
7,19,4,
7,20,26,
7,21,0,
7,22,4,
7,23,0,
7,24,4,
7,25,0,
7,26,0,
7,27,0,
7,28,8,
7,29,24,
7,30,28,
7,31,0,
7,32,16,
7,33,22,
7,34,10,
7,35,12,
7,36,26,
7,37,22,
7,38,24,
7,39,0,
7,40,26,
7,41,16,
7,42,18,
7,43,22,
7,44,22,
7,45,24,
7,46,18,
7,47,24,
7,48,20,
7,49,22,
7,50,26,504
8,1,0,
8,2,14,
8,3,0,
8,4,0,
8,5,0,
8,6,0,
8,7,0,
8,8,0,
8,9,4,
8,10,0,
8,11,18,
8,12,6,
8,13,0,
8,14,0,
8,15,24,
8,16,0,
8,17,4,
8,18,16,
8,19,8,
8,20,0,
8,21,0,
8,22,0,
8,23,0,
8,24,0,
8,25,0,
8,26,0,
8,27,14,
8,28,14,
8,29,0,
8,30,4,
8,31,26,
8,32,26,
8,33,12,
8,34,4,
8,35,26,
8,36,0,
8,37,24,
8,38,22,
8,39,24,
8,40,14,
8,41,26,
8,42,22,
8,43,26,
8,44,24,
8,45,26,
8,46,24,
8,47,28,
8,48,22,
8,49,26,
8,50,20,548
9,1,0,
9,2,0,
9,3,0,
9,4,0,
9,5,0,
9,6,0,
9,7,0,
9,8,0,
9,9,0,
9,10,0,
9,11,0,
9,12,0,
9,13,0,
9,14,0,
9,15,0,
9,16,0,
9,17,0,
9,18,0,
9,19,4,
9,20,0,
9,21,0,
9,22,0,
9,23,0,
9,24,0,
9,25,0,
9,26,4,
9,27,0,
9,28,0,
9,29,24,
9,30,0,
9,31,0,
9,32,0,
9,33,12,
9,34,22,
9,35,12,
9,36,14,
9,37,18,
9,38,8,
9,39,14,
9,40,6,
9,41,16,
9,42,0,
9,43,18,
9,44,12,
9,45,18,
9,46,20,
9,47,4,
9,48,16,
9,49,28,
9,50,18,288
10,1,0,
10,2,0,
10,3,0,
10,4,0,
10,5,0,
10,6,0,
10,7,0,
10,8,0,
10,9,0,
10,10,0,
10,11,0,
10,12,0,
10,13,0,
10,14,0,
10,15,0,
10,16,0,
10,17,0,
10,18,0,
10,19,0,
10,20,0,
10,21,0,
10,22,0,
10,23,0,
10,24,16,
10,25,0,
10,26,0,
10,27,0,
10,28,0,
10,29,0,
10,30,0,
10,31,0,
10,32,6,
10,33,0,
10,34,26,
10,35,0,
10,36,24,
10,37,0,
10,38,8,
10,39,12,
10,40,24,
10,41,0,
10,42,10,
10,43,10,
10,44,26,
10,45,18,
10,46,16,
10,47,18,
10,48,16,
10,49,20,
10,50,24,274
11,1,0,
11,2,0,
11,3,0,
11,4,0,
11,5,0,
11,6,0,
11,7,0,
11,8,0,
11,9,0,
11,10,0,
11,11,24,
11,12,0,
11,13,0,
11,14,0,
11,15,0,
11,16,0,
11,17,0,
11,18,0,
11,19,0,
11,20,12,
11,21,0,
11,22,0,
11,23,0,
11,24,0,
11,25,0,
11,26,0,
11,27,0,
11,28,6,
11,29,26,
11,30,0,
11,31,0,
11,32,10,
11,33,6,
11,34,0,
11,35,24,
11,36,14,
11,37,22,
11,38,26,
11,39,12,
11,40,12,
11,41,4,
11,42,24,
11,43,4,
11,44,24,
11,45,24,
11,46,28,
11,47,14,
11,48,24,
11,49,22,
11,50,20,382
12,1,0,
12,2,0,
12,3,0,
12,4,0,
12,5,0,
12,6,0,
12,7,0,
12,8,0,
12,9,0,
12,10,10,
12,11,0,
12,12,0,
12,13,0,
12,14,0,
12,15,0,
12,16,0,
12,17,0,
12,18,0,
12,19,0,
12,20,0,
12,21,0,
12,22,0,
12,23,0,
12,24,0,
12,25,0,
12,26,0,
12,27,0,
12,28,2,
12,29,0,
12,30,0,
12,31,0,
12,32,0,
12,33,0,
12,34,16,
12,35,0,
12,36,26,
12,37,18,
12,38,20,
12,39,10,
12,40,0,
12,41,0,
12,42,20,
12,43,16,
12,44,22,
12,45,16,
12,46,24,
12,47,22,
12,48,24,
12,49,0,
12,50,28,274
13,1,0,
13,2,0,
13,3,0,
13,4,0,
13,5,0,
13,6,0,
13,7,0,
13,8,0,
13,9,0,
13,10,0,
13,11,0,
13,12,0,
13,13,0,
13,14,0,
13,15,6,
13,16,0,
13,17,8,
13,18,6,
13,19,0,
13,20,0,
13,21,0,
13,22,0,
13,23,0,
13,24,0,
13,25,0,
13,26,0,
13,27,8,
13,28,0,
13,29,0,
13,30,20,
13,31,26,
13,32,22,
13,33,28,
13,34,12,
13,35,0,
13,36,20,
13,37,2,
13,38,14,
13,39,0,
13,40,20,
13,41,16,
13,42,18,
13,43,26,
13,44,14,
13,45,26,
13,46,20,
13,47,26,
13,48,22,
13,49,24,
13,50,26,410
14,1,0,
14,2,0,
14,3,0,
14,4,0,
14,5,0,
14,6,0,
14,7,0,
14,8,0,
14,9,0,
14,10,0,
14,11,0,
14,12,0,
14,13,4,
14,14,0,
14,15,0,
14,16,0,
14,17,0,
14,18,0,
14,19,12,
14,20,0,
14,21,0,
14,22,0,
14,23,0,
14,24,0,
14,25,0,
14,26,0,
14,27,16,
14,28,2,
14,29,0,
14,30,22,
14,31,0,
14,32,8,
14,33,2,
14,34,12,
14,35,8,
14,36,16,
14,37,16,
14,38,26,
14,39,10,
14,40,24,
14,41,26,
14,42,16,
14,43,0,
14,44,20,
14,45,28,
14,46,24,
14,47,26,
14,48,26,
14,49,26,
14,50,10,380
15,1,0,
15,2,0,
15,3,0,
15,4,0,
15,5,0,
15,6,0,
15,7,0,
15,8,0,
15,9,0,
15,10,0,
15,11,12,
15,12,0,
15,13,0,
15,14,0,
15,15,0,
15,16,0,
15,17,0,
15,18,0,
15,19,0,
15,20,0,
15,21,0,
15,22,0,
15,23,0,
15,24,0,
15,25,0,
15,26,4,
15,27,0,
15,28,0,
15,29,12,
15,30,18,
15,31,28,
15,32,0,
15,33,0,
15,34,10,
15,35,24,
15,36,12,
15,37,24,
15,38,0,
15,39,20,
15,40,28,
15,41,2,
15,42,18,
15,43,12,
15,44,16,
15,45,4,
15,46,14,
15,47,20,
15,48,28,
15,49,12,
15,50,18,336