Experiment_Name,Episode,Reward
AMPS,1,0.8
AMPS,2,0.8
AMPS,3,0
AMPS,4,0.1333333
AMPS,5,0.2666667
AMPS,6,0.6666667
AMPS,7,0.2666667
AMPS,8,1.8666667
AMPS,9,1.4666667
AMPS,10,1.0666667
AMPS,11,0.8
AMPS,12,0.5333333
AMPS,13,6
AMPS,14,1.6
AMPS,15,1.0666667
AMPS,16,1.0666667
AMPS,17,0
AMPS,18,2
AMPS,19,0.9333333
AMPS,20,0.2666667
AMPS,21,1.4666667
AMPS,22,0.8
AMPS,23,0
AMPS,24,1.6
AMPS,25,0.5333333
AMPS,26,0
AMPS,27,0.9333333
AMPS,28,3.2
AMPS,29,4
AMPS,30,0.5333333
AMPS,31,1.2
AMPS,32,3.6
AMPS,33,2.5333333
AMPS,34,0.5333333
AMPS,35,0
AMPS,36,1.4666667
AMPS,37,0.2666667
AMPS,38,5.2
AMPS,39,4.1333333
AMPS,40,1.3333333
AMPS,41,0
AMPS,42,2.9333333
AMPS,43,1.0666667
AMPS,44,4.2666667
AMPS,45,4.9333333
AMPS,46,2.4
AMPS,47,2.5333333
AMPS,48,2.1333333
AMPS,49,2.6666667
AMPS,50,1.3333333
Best_Action,1,0
Best_Action,2,2.1333333
Best_Action,3,0
Best_Action,4,0.5333333
Best_Action,5,2.4
Best_Action,6,1.0666667
Best_Action,7,0.5333333
Best_Action,8,0.4
Best_Action,9,1.4666667
Best_Action,10,1.7333333
Best_Action,11,2
Best_Action,12,1.4666667
Best_Action,13,1.6
Best_Action,14,3.3333333
Best_Action,15,2.4
Best_Action,16,5.3333333
Best_Action,17,7.2
Best_Action,18,6.2666667
Best_Action,19,11.2
Best_Action,20,9.4666667
Best_Action,21,0.4
Best_Action,22,0.8
Best_Action,23,1.6
Best_Action,24,0.9333333
Best_Action,25,0.2666667
Best_Action,26,0.8
Best_Action,27,16
Best_Action,28,17.3333333
Best_Action,29,19.3333333
Best_Action,30,19.8666667
Best_Action,31,17.2
Best_Action,32,17.0666667
Best_Action,33,17.2
Best_Action,34,16.8
Best_Action,35,15.2
Best_Action,36,19.8666667
Best_Action,37,19.4666667
Best_Action,38,16.5333333
Best_Action,39,17.0666667
Best_Action,40,18
Best_Action,41,19.0666667
Best_Action,42,19.6
Best_Action,43,20.6666667
Best_Action,44,20
Best_Action,45,20.1333333
Best_Action,46,22.4
Best_Action,47,23.4666667
Best_Action,48,25.0666667
Best_Action,49,24
Best_Action,50,24.4
Similarity,1,0
Similarity,2,0.9333333
Similarity,3,0
Similarity,4,0.4
Similarity,5,1.2
Similarity,6,0
Similarity,7,2
Similarity,8,0
Similarity,9,1.6
Similarity,10,0.6666667
Similarity,11,5.2
Similarity,12,0.4
Similarity,13,4.1333333
Similarity,14,1.8666667
Similarity,15,3.4666667
Similarity,16,2.4
Similarity,17,3.4666667
Similarity,18,5.8666667
Similarity,19,3.0666667
Similarity,20,4.5333333
Similarity,21,0
Similarity,22,0.2666667
Similarity,23,0.8
Similarity,24,1.3333333
Similarity,25,0
Similarity,26,3.3333333
Similarity,27,5.7333333
Similarity,28,5.4666667
Similarity,29,10.9333333
Similarity,30,10.6666667
Similarity,31,11.6
Similarity,32,8.6666667
Similarity,33,9.6
Similarity,34,11.6
Similarity,35,11.2
Similarity,36,14.2666667
Similarity,37,15.4666667
Similarity,38,16.8
Similarity,39,12.8
Similarity,40,16.4
Similarity,41,13.6
Similarity,42,17.6
Similarity,43,18.1333333
Similarity,44,20
Similarity,45,20.5333333
Similarity,46,19.3333333
Similarity,47,20.8
Similarity,48,21.0666667
Similarity,49,21.2
Similarity,50,21.6